soggetto;data_ora_scatto;perimetro_px;perimetro_mm;area_pixel;area_mm;lato_pixel
F_R6;2021-09-05 22-50-56;6753;598.373;101897;160.008;56.428
F_R6;2021-09-07 03-19-55;16749;1478.34;261074;406.785;56.648
F_R6;2021-09-07 21-25-28;22319;1961.696;342194;528.709;56.887
F_R6;2021-09-08 22-07-28;29473;2627.951;449844;715.283;56.076
F_R6;2021-09-10 10-42-12;34067;2916.645;496354;727.647;58.401
G_R1;2021-09-02 23-42-56;327;29.018;4335;6.827;56.345
G_R1;2021-09-03 20-01-12;249;22.182;4085;6.484;56.126
G_R1;2021-09-05 23-44-28;891;77.8;15771;24.049;57.262
G_R1;2021-09-07 03-40-13;6007;533.975;95192;150.438;56.248
G_R1;2021-09-07 23-47-00;9127;802.938;135376;209.546;56.835
G_R1;2021-09-08 22-33-04;7088;629.686;110012;173.648;56.282
G_R1;2021-09-10 11-40-52;13279;1139.476;202517;298.244;58.268
G_R2;2021-09-05 23-57-18;1155;100.755;17639;26.846;57.317
G_R2;2021-09-07 03-51-02;4562;400.667;83269;128.461;56.93
G_R2;2021-09-07 23-31-37;10698;932.255;180642;274.355;57.377
G_R2;2021-09-08 22-47-14;10819;957.01;187670;293.686;56.525
G_R2;2021-09-10 11-27-29;14481;1225.5;237867;340.717;59.082
G_R3;2021-09-03 05-03-54;66;5.763;1438;2.193;57.263
G_R3;2021-09-03 20-26-35;150;12.973;3890;5.82;57.811
G_R3;2021-09-06 01-47-25;2079;180.025;39065;58.583;57.742
G_R3;2021-09-07 04-08-40;11617;1036.27;196888;313.334;56.052
G_R3;2021-09-07 23-10-19;14234;1255.734;226520;352.597;56.676
G_R3;2021-09-08 23-04-44;9438;832.29;160857;250.184;56.699
G_R3;2021-09-10 11-09-25;12317;1049.327;204643;297.056;58.69
G_R4;2021-09-02 22-16-11;212;18.567;2193;3.364;57.09
G_R4;2021-09-03 19-29-17;465;40.614;5803;8.854;57.246
G_R4;2021-09-05 22-24-33;1703;147.372;27695;41.479;57.779
G_R4;2021-09-07 02-46-56;5744;504.453;99245;153.091;56.933
G_R4;2021-09-07 20-46-32;10508;916.609;165493;251.847;57.32
G_R4;2021-09-08 21-29-39;9552;836.032;161066;246.769;57.127
G_R4;2021-09-10 10-06-23;12873;1115.55;208976;313.866;57.698
G_R5;2021-09-05 22-33-38;542;47.901;12126;18.943;56.575
G_R5;2021-09-07 02-52-35;849;0;18890;0;0
G_R5;2021-09-07 20-52-39;1745;153.226;33164;51.141;56.942
G_R5;2021-09-08 21-35-13;6671;589.072;124971;194.892;56.623
G_R5;2021-09-10 14-52-51;9033;774.62;156404;230.034;58.306
G_R6;2021-09-02 23-04-02;348;30.381;3760;5.732;57.272
G_R6;2021-09-03 19-42-31;355;30.771;5383;8.089;57.684
G_R6;2021-09-05 22-50-04;2216;193.216;40293;61.264;57.345
G_R6;2021-09-07 03-12-19;5810;519.028;100769;160.837;55.97
G_R6;2021-09-07 21-19-19;7096;632.893;123279;196.134;56.06
G_R6;2021-09-08 22-06-21;10533;946.055;181011;292.054;55.668
G_R6;2021-09-10 10-41-18;15551;1317.1;239028;342.925;59.035
H_R1;2021-09-01 23-16-29;105;9.183;1549;2.37;57.17
H_R1;2021-09-03 04-28-57;241;20.944;4344;6.561;57.535
H_R1;2021-09-03 20-01-57;657;56.85;9867;14.775;57.784
H_R1;2021-09-05 23-49-51;5319;454.188;108030;157.538;58.555
H_R1;2021-09-07 03-41-00;11821;1059.761;245780;395.079;55.772
H_R1;2021-09-07 23-38-56;12446;1114.394;255595;409.827;55.842
H_R1;2021-09-08 22-37-28;15785;1392.811;304863;474.711;56.666
H_R1;2021-09-10 11-34-19;21705;1876.978;354140;529.668;57.819
H_R2;2021-09-01 22-55-38;371;32.836;6061;9.496;56.493
H_R2;2021-09-03 04-45-55;832;74.012;14451;22.871;56.207
H_R2;2021-09-03 20-11-43;1243;108.1;22021;33.31;57.493
H_R2;2021-09-06 00-07-05;4792;423.524;77002;120.297;56.573
H_R2;2021-09-07 04-00-05;15931;1406.785;243937;380.432;56.622
H_R2;2021-09-07 23-26-18;16654;1457.119;246072;376.743;57.147
H_R2;2021-09-08 22-51-37;21688;1927.24;310109;489.753;56.267
H_R2;2021-09-10 11-21-50;27898;2388.446;393091;576.246;58.402
H_R3;2021-09-01 22-31-19;480;42.271;6209;9.631;56.776
H_R3;2021-09-03 05-02-07;1008;87.806;15710;23.842;57.399
H_R3;2021-09-03 20-26-12;1691;147.755;25316;38.657;57.223
H_R3;2021-09-06 01-12-35;8432;1640.786;118691;898.857;25.695
H_R3;2021-09-07 04-08-19;23295;2062.636;322107;505.068;56.469
H_R3;2021-09-07 23-10-55;23963;2106.489;339525;524.732;56.879
H_R3;2021-09-08 23-03-55;22297;1972.906;301105;471.485;56.508
H_R3;2021-09-10 11-09-51;20988;1790.174;255953;372.425;58.62
H_R4;2021-09-02 21-56-18;276;24.015;3966;6.005;57.464
H_R4;2021-09-03 19-20-09;739;64.05;11645;17.495;57.689
H_R4;2021-09-05 22-03-38;5198;456.83;73525;113.58;56.892
H_R4;2021-09-07 02-37-47;12869;1142.489;182816;288.177;56.32
H_R4;2021-09-07 20-34-58;14586;1275.758;203522;311.391;57.166
H_R4;2021-09-08 21-17-28;21567;1930.555;296001;474.36;55.857
H_R4;2021-09-10 09-54-18;24264;2056.236;315881;453.706;59.001
H_R5;2021-09-05 22-45-13;949;82.566;14216;21.522;57.469
H_R5;2021-09-07 03-02-13;8910;791.24;153429;241.991;56.304
H_R5;2021-09-07 21-04-08;15082;1328.998;252038;391.405;56.742
H_R5;2021-09-08 21-48-18;14545;1297.132;256110;407.378;56.066
H_R5;2021-09-10 10-34-56;16881;1443.783;290397;424.844;58.461
H_R6;2021-09-03 19-49-40;176;15.418;1645;2.525;57.077
H_R6;2021-09-05 22-59-30;729;64.0;10386;16.01;56.953
H_R6;2021-09-07 03-20-39;1910;169.104;22695;35.58;56.474
H_R6;2021-09-07 21-26-25;4072;357.525;52547;81.017;56.947
H_R6;2021-09-08 22-12-54;8740;775.827;135676;213.816;56.327
H_R6;2021-09-10 10-42-42;15970;1376.036;250579;372.07;58.029
